model,type,arm,metric,n,mean,median,q25,q75
llama3.2:1b,two-clause,backwards,comet,25,0.7053137910366059,0.7418894171714783,0.6169736385345459,0.8253369331359863
llama3.2:1b,two-clause,comparator,bleu,25,0.040699068529871534,0.033864985683445356,0.033864985683445356,0.04196114906296548
llama3.2:1b,two-clause,comparator,chrf,25,0.0765079445979548,0.04620068908894697,0.03387533875338754,0.06205924242281543
llama3.2:1b,two-clause,comparator,chrfpp,25,0.0855489008084707,0.05240186496861492,0.04499462750716332,0.06617799988816181
llama3.2:1b,two-clause,comparator,comet,25,0.28354826211929324,0.2596246898174286,0.2500082850456238,0.294715940952301
llama3.2:1b,two-verb,backwards,bleu,25,0.26990418259667076,0.20801195378010617,0.17030578356760867,0.32466791547509904
llama3.2:1b,two-verb,backwards,chrf,25,0.49812597665072217,0.5111763805154586,0.3663744797837325,0.6547258385943283
llama3.2:1b,two-verb,backwards,chrfpp,25,0.490639895896033,0.5057685245441519,0.326063661631523,0.6197716961216098
llama3.2:1b,two-verb,backwards,comet,25,0.7125335490703583,0.6792730093002319,0.6416406631469727,0.7827246785163879
llama3.2:1b,two-verb,comparator,bleu,25,0.04094117296466935,0.03673526562988939,0.033864985683445356,0.04196114906296548
llama3.2:1b,two-verb,comparator,chrf,25,0.09973125330895474,0.0786456144563847,0.04499072948716545,0.1283544252738884
llama3.2:1b,two-verb,comparator,chrfpp,25,0.10297915091809921,0.07851610270506501,0.05389801843869732,0.1295402049801096
llama3.2:1b,two-verb,comparator,comet,25,0.29632285177707673,0.28341928124427795,0.25705230236053467,0.3405406177043915
llama3.2:3b,complex,backwards,bleu,25,0.1351005735974474,0.12380755247080077,0.092875289995668,0.16590387014219712
llama3.2:3b,complex,backwards,chrf,25,0.4195436460754031,0.43600047349301413,0.2999981011569619,0.5113194558619867
llama3.2:3b,complex,backwards,chrfpp,25,0.39926940505669267,0.3947779974903955,0.30404213115677015,0.4703654469011304
llama3.2:3b,complex,backwards,comet,25,0.7229844689369201,0.7372832894325256,0.666964590549469,0.7777981758117676
llama3.2:3b,complex,comparator,bleu,25,0.039890186206853535,0.033864985683445356,0.033864985683445356,0.04767707020457095
llama3.2:3b,complex,comparator,chrf,25,0.09870084322826018,0.0749084486368276,0.0550287320886872,0.1197141762736573
llama3.2:3b,complex,comparator,chrfpp,25,0.09921396290003745,0.07674506435563955,0.05432013410969051,0.11057252190409989
llama3.2:3b,complex,comparator,comet,25,0.3083722352981567,0.2749982178211212,0.25451570749282837,0.305646151304245
llama3.2:3b,nominalization,backwards,bleu,25,0.6530750521163834,0.6104735835807847,0.3875385825373298,1.0000000000000004
llama3.2:3b,nominalization,backwards,chrf,25,0.8148288958794945,0.8372709649329331,0.6316866475802418,1.0
llama3.2:3b,nominalization,backwards,chrfpp,25,0.8060295308548094,0.8074318808983584,0.617466807073551,1.0
llama3.2:3b,nominalization,backwards,comet,25,0.8662597846984863,0.9146707653999329,0.8296632170677185,0.9702225923538208
llama3.2:3b,nominalization,comparator,bleu,25,0.17651812161875352,0.11980914528565992,0.04456882760699063,0.2891784933232572
llama3.2:3b,nominalization,comparator,chrf,25,0.30749187447955406,0.3168997027333842,0.08972091090630417,0.47252380838285085
llama3.2:3b,nominalization,comparator,chrfpp,25,0.3298602779672383,0.3371112808886271,0.12427470427427653,0.5070528644365866
llama3.2:3b,nominalization,comparator,comet,25,0.39710485100746157,0.3974624574184418,0.3205145299434662,0.45470961928367615
llama3.2:3b,subject-verb,backwards,bleu,25,0.5204688078763655,0.31947155212313627,0.24840753130578644,1.0000000000000004
llama3.2:3b,subject-verb,backwards,chrf,25,0.6371098396716632,0.7613583122066678,0.283842215389402,1.0
llama3.2:3b,subject-verb,backwards,chrfpp,25,0.6211227746599459,0.6750758523782444,0.2642863605662356,1.0
llama3.2:3b,subject-verb,backwards,comet,25,0.8924920105934143,0.9423658847808838,0.8727061748504639,0.9820150136947632
llama3.2:3b,subject-verb,comparator,bleu,25,0.24839539798187033,0.1597357760615681,0.08116697886877475,0.24840753130578644
llama3.2:3b,subject-verb,comparator,chrf,25,0.34677000996029766,0.26518067654550515,0.17230569058550324,0.3893947997458763
llama3.2:3b,subject-verb,comparator,chrfpp,25,0.3459613654125272,0.23902571285128732,0.18606855851032794,0.35165013143905155
llama3.2:3b,subject-verb,comparator,comet,25,0.6124778437614441,0.533020555973053,0.45154479146003723,0.8678630590438843
llama3.2:3b,subject-verb-object,backwards,bleu,25,0.3034304450884325,0.23643540225079385,0.22957488466614337,0.30213753973567675
llama3.2:3b,subject-verb-object,backwards,chrf,25,0.6474593677443113,0.6641043512256091,0.5687184655681964,0.7411316088398827
llama3.2:3b,subject-verb-object,backwards,chrfpp,25,0.6358882445123205,0.6470520477559581,0.565134231288799,0.734554266973399
llama3.2:3b,subject-verb-object,backwards,comet,25,0.8834097099304199,0.8918156027793884,0.8416364789009094,0.9307510256767273
llama3.2:3b,subject-verb-object,comparator,bleu,25,0.07619497408795403,0.0402724819242185,0.033864985683445356,0.08392229812593097
llama3.2:3b,subject-verb-object,comparator,chrf,25,0.1623160937471254,0.07509994919709317,0.042535807704621925,0.1857683952038269
llama3.2:3b,subject-verb-object,comparator,chrfpp,25,0.170235321530498,0.07592898322851152,0.05389801843869732,0.19367419711335482
llama3.2:3b,subject-verb-object,comparator,comet,25,0.38139960408210755,0.30681362748146057,0.2511391341686249,0.40278077125549316
llama3.2:3b,two-clause,backwards,bleu,24,0.20627294145491717,0.21131179110709408,0.0891052183580069,0.3457207846419412
llama3.2:3b,two-clause,backwards,chrf,24,0.5417455465184012,0.5497529997740853,0.37951213605841616,0.7432017818868675
llama3.2:3b,two-clause,backwards,chrfpp,24,0.5175479222713365,0.5189303373923746,0.36026292780257774,0.7227182628997161
llama3.2:3b,two-clause,backwards,comet,24,0.7613027120629946,0.8274966478347778,0.6046461164951324,0.935956209897995
llama3.2:3b,two-clause,comparator,bleu,24,0.057962128129391714,0.033864985683445356,0.025540496664715903,0.057015605739240464
llama3.2:3b,two-clause,comparator,chrf,24,0.1658168757743678,0.12537852069477834,0.05977938481402449,0.22626194490220464
llama3.2:3b,two-clause,comparator,chrfpp,24,0.1642338237386067,0.12162603913942903,0.06796194428867441,0.23174108515176933
llama3.2:3b,two-clause,comparator,comet,24,0.3585541894038518,0.29850107431411743,0.2653806358575821,0.37220369279384613
llama3.2:3b,two-verb,backwards,bleu,21,0.176765318028687,0.15207218222740093,0.09652434877402244,0.23643540225079385
llama3.2:3b,two-verb,backwards,chrf,21,0.42294698158804256,0.42241150280501516,0.2686360545718502,0.604082193766555
